Name	Entsprechender .worldport Befehl
Kolkar Village	.worldport .1. .-939.787. .1091.4. .93.8119. .0.
KolkarCrag	.worldport .1. .-1028.63. .-4599.8. .25.5756. .0.
KolkarVillage	.worldport .1. .-939.787. .1091.4. .93.8119. .0.
KurzensCompound	.worldport .0. .-11586.5. .-657.662. .32.9941. .0.
Lake Al'Ameth	.worldport .1. .9477.19. .1005.74. .1249.01. .0.
Lake Everstill	.worldport .0. .-9319. .-1937.94. .58.0698. .0.
LakeAlAmeth	.worldport .1. .9534.08. .730.105. .1253.42. .0.
LakeEverstill	.worldport .0. .-9319. .-1937.94. .58.0698. .0.
Lakeshire	.worldport .0. .-9282.98. .-2269.64. .69.39. .0.
Lakeshire	.worldport .0. .-9277.86. .-2285.33. .67.7402. .0.
LakeshireInn	.worldport .0. .-9219.37. .-2149.94. .70.606. .0.
LakkariTarPits	.worldport .1. .-6478.21. .-1129.33. .-275.909. .0.
Lethlor Ravine	.worldport .0. .-6935.86. .-4092.06. .285.906. .0.
LethlorRavine	.worldport .0. .-6935.86. .-4092.06. .285.906. .0.
LiftsToGround	.worldport .1. .-1035.63. .-24.082. .140.694. .0.
LightsHopeChapel	.worldport .0. .2278.36. .-5311.16. .87.201. .0.
LittleCrater	.worldport .0. .-12238.3. .-2475.1. .-2.82331. .0.
LochModan	.worldport .0. .-4939.1. .-3423.74. .305.595. .0.
Longshore	.worldport .0. .-10513.9. .2075.23. .12.1819. .0.
Lordamere Internment Camp	.worldport .0. .-74.6376. .201.212. .53.2755. .0.
Lordamere Lake	.worldport .0. .762.653. .909.072. .31.2142. .0.
LordamereInternmentCamp	.worldport .0. .-74.6376. .201.212. .53.2755. .0.
Lost Point	.worldport .1. .-3922.24. .-2839.21. .44.6212. .0.
LostPoint	.worldport .1. .-3922.24. .-2839.21. .44.6212. .0.
lsamar	.worldport .0. .-5335.61. .-2982.58. .332.669. .0.
Lushwater Oasis	.worldport .1. .-964.776. .-2039.74. .81.3491. .0.
LushwaterOasis	.worldport .1. .-964.776. .-2039.74. .81.3491. .0.
MaclureVineyards	.worldport .0. .-9881.4. .88.8972. .33.3196. .0.
MaestrasPost	.worldport .1. .3229.99. .198.252. .8.06151. .0.
MageQuarter	.worldport .0. .-8979.44. .851.161. .105.584. .0.
MagicQuarter	.worldport .0. .1733.62. .103.444. .-61.857. .0.
Magram Village	.worldport .1. .-1754.33. .967.89. .92.5626. .0.
MagramVillage	.worldport .1. .-1754.33. .967.89. .92.5626. .0.
MakersTerrace	.worldport .0. .-6092.32. .-3214.55. .262.727. .0.
MalakaJin	.worldport .1. .-191.661. .-301.87. .12.2698. .0.
Malden's Orchard	.worldport .0. .1414.28. .1073.22. .52.4649. .0.
MaldensOrchard	.worldport .0. .1414.28. .1073.22. .52.4649. .0.
Mannoroc Coven	.worldport .1. .-1879.28. .1745.49. .78.8892. .0.
MannoroeCoven	.worldport .1. .-1879.28. .1745.49. .78.8892. .0.
Manoroth Corpse	.worldport .0. .-13946.7. .12416.7. .98.4378. .0.
Maraudon	.worldport .349. .419.84. .11.3365. .-132.079. .0.
MardenholdeKeep	.worldport .0. .2918.72. .-1439.39. .150.782. .0.
MarrisStead	.worldport .0. .1868.96. .-3223.39. .123.065. .0.
MarshalsRefuge	.worldport .1. .-6186.57. .-1106.83. .-217.06. .0.
Marshlands	.worldport .1. .-7286.01. .-2125.06. .-272.114. .0.
Marshlands	.worldport .1. .-7353.57. .-1792.67. .-266.037. .0.
Master's Glaive	.worldport .1. .4577.61. .419.307. .33.7161. .0.
MasterGlaive	.worldport .1. .4508.17. .373.376. .32.5125. .0.
Mazthoril	.worldport .1. .6155.21. .-4444.95. .659.788. .0.
Medivh's Tower	.worldport .0. .-11078.9. .-2078.53. .206.878. .0.
Menethil Bay	.worldport .0. .-3754.19. .-1087.3. .-1.71875. .0.
Menethil Harbor	.worldport .0. .-3740.29. .-755.08. .10.9643. .0.
MenethilHarbor	.worldport .0. .-3740.29. .-755.08. .10.9643. .0.
MilitartWard	.worldport .0. .-4970.65. .-1210.7. .501.829. .0.
Mine	.worldport .0. .374.222. .1083.9. .106.509. .0.
MirageRaceway	.worldport .1. .-6202.16. .-3901.68. .-60.2858. .0.
MirkfallonLake	.worldport .1. .1570.64. .1030.23. .138.019. .0.
Mirror Lake	.worldport .0. .-9355.84. .537.441. .52.5171. .0.
Mirror Lake Orchard	.worldport .0. .-9469.08. .467.583. .54.0913. .0.
MirrorLake	.worldport .0. .-9405.99. .364.768. .49.6483. .0.
MirrorLakeOrchard	.worldport .0. .-9469.08. .467.583. .54.0913. .0.
Mist's Edge	.worldport .1. .7742.92. .-769.867. .5.22102. .0.
Misty Pine Refuge	.worldport .0. .-5353.18. .-1043.02. .394.772. .0.
MistyPineRefuge	.worldport .0. .-5353.18. .-1043.02. .394.772. .0.
MistyReedPost	.worldport .0. .-10849.6. .-4088.17. .21.7445. .0.
MistyreedStrand	.worldport .0. .-10022.2. .-4266.67. .7.26064. .0.
MistyValley	.worldport .0. .-10103.4. .-2431.61. .28.4491. .0.
Mo'Grosh Stronghold	.worldport .0. .-4871.78. .-4025.77. .313.141. .0.
MoGroshStronghold	.worldport .0. .-4871.78. .-4025.77. .313.141. .0.
MoltenBridge	.worldport .230. .1097.99. .-466.494. .-96.0719. .0.
MoltenCore	.worldport .409. .1115.22. .-462.959. .-95.0148. .0.
MoltenCore	.worldport .409. .1071.9. .-488.489. .-108.219. .0.
MonstersGlaive	.worldport .1. .4565.22. .438.446. .32.9133. .0.
Moonbrook	.worldport .0. .-11018.4. .1513.69. .43.0152. .0.
Moonwell	.worldport .1. .2454.38. .-2943.27. .124. .0.
MorgansPlot	.worldport .0. .-11094.2. .-1829.64. .72.9926. .0.
MorgansVigil	.worldport .0. .-8355.88. .-2752.16. .184.755. .0.
Mountains in Flat Lands	.worldport .0. .3602.47. .-1142.69. .1.03249. .0.
Mulgore	.worldport .1. .-2366.7. .-345.983. .-1.29313. .0.
Mulgore Mine	.worldport .1. .-1915.66. .-1107.44. .87.572. .0.
MurlocCamp	.worldport .0. .-9614.89. .-2613.58. .57.5311. .0.
MysticWard	.worldport .0. .-4678.19. .-968.721. .501.659. .0.
MystralLake	.worldport .1. .2058.47. .-998.369. .95.6764. .0.
Naxxramas	.worldport .533. .3005.87. .-3435.01. .293.882. .2.96673.
Nerubian Pits	.worldport .1. .-7245.6. .1678.94. .-65.9066. .0.
Nethander Stead	.worldport .0. .-898.266. .-1044.33. .30.3478. .0.
NethergardeKeep	.worldport .0. .-11015.9. .-3326.09. .61.7594. .0.
Night Elf Portal	.worldport .1. .3155. .-3702. .121. .0.
Nighthaven	.worldport .1. .7978.95. .-2501.13. .488.986. .0.
NightSongWood	.worldport .1. .2454.38. .-2943.27. .124. .0.
NightsongWoods	.worldport .1. .2046.82. .-1874.25. .98.5036. .0.
NijelsPoint	.worldport .1. .147.011. .1231.58. .165.476. .0.
North Point Tower	.worldport .1. .-2855.96. .-3422.66. .36.7473. .0.
North Tide's Run	.worldport .0. .873.391. .1852.5. .5.0548. .0.
NorthanderStead	.worldport .0. .-898.266. .-1044.33. .30.3478. .0.
NorthCoast	.worldport .0. .2955.79. .99.8215. .3.32947. .0.
NorthDale	.worldport .0. .3011.49. .-4941.44. .103.586. .0.
Northfold Manor	.worldport .0. .-797.235. .-2068.95. .33.8337. .0.
NorthfoldManor	.worldport .0. .-797.235. .-2068.95. .33.8337. .0.
NorthGateOutpost	.worldport .0. .-5231.95. .-2366.98. .398.807. .0.
NorthpassTower	.worldport .0. .3181.78. .-4331.39. .137.689. .0.
NorthPointTower	.worldport .1. .-2855.96. .-3422.66. .36.7473. .0.
Northridge Lumber Camp	.worldport .0. .2423.42. .-1646.44. .60.5098. .0.
NorthridgeLumberCamp	.worldport .0. .2423.42. .-1646.44. .104.51. .0.
Northshire	.worldport .0. .-9015.92. .-79.4411. .87.1198. .0.
Northshire Valley	.worldport .0. .-9043.76. .-41.5906. .88.3589. .0.
Northshire Vineyards	.worldport .0. .-9092.38. .-368.684. .73.6163. .0.
NorthshireValley	.worldport .0. .-9043.76. .-41.5906. .88.3589. .0.
NorthTidesRun	.worldport .0. .873.391. .1852.5. .5.0548. .0.
NorthwatchHold	.worldport .1. .-1986.58. .-3688.25. .18.3162. .0.
NoxiousGlade	.worldport .0. .2714.32. .-5455.48. .159.145. .0.
NoxiousLair	.worldport .1. .-7779.9. .-2691.72. .9.14648. .0.
NoxiusLair	.worldport .1. .-8044.95. .-2525.12. .12.1908. .0.
OldTown	.worldport .0. .-8722.22. .409.911. .97.8349. .0.
Olsen's Farthing	.worldport .0. .134.209. .1496.64. .114.394. .0.
OlsensFarthing	.worldport .0. .134.209. .1496.64. .114.394. .0.
Onyxia	.worldport .249. .24.6421. .-91.8906. .-15.3839. .0.
OnyxiasLair	.worldport .249. .29.4548. .-68.9609. .-6.98402. .0.
Opthecarium	.worldport .0. .1457.61. .382.548. .-59.2747. .0.
OracleGlade	.worldport .1. .10661.2. .1875.75. .1323.46. .0.
Orc Outpost A	.worldport .0. .-10859. .-2663.38. .7.80049. .0.
Orc Outpost B	.worldport .0. .-8687.39. .-2330.38. .155.916. .0.
OrcOutpost	.worldport .0. .-8687.39. .-2330.38. .155.916. .0.
Orgimmar	.worldport .1. .1484.36. .-4417.03. .24.4709. .0.
Orgrimmar	.worldport .1. .1502.71. .-4415.42. .21.5512. .0.
Outland Dark Portal	.worldport .0. .-11894.8. .-3206.52. .-14.62. .0.
Outside Hyjal Cave	.worldport .1. .4817. .-1742. .1168. .0.
Overlook Cliffs	.worldport .0. .-69.8514. .-4536. .7.28923. .0.
OverlookCliffs	.worldport .0. .-69.8514. .-4536. .17.2892. .0.
OwlWingThicket	.worldport .1. .5671.61. .-4963.66. .806.429. .0.
Paladin Statue	.worldport .0. .981.477. .-1821.84. .80.4872. .0.
Park	.worldport .0. .-8755.55. .1094.03. .95.4037. .0.
Pass	.worldport .0. .-6181.39. .-2300.55. .285.692. .0.
PillarsOfAsh	.worldport .0. .-8068.39. .-1603.97. .139.572. .0.
Plaguewood	.worldport .0. .3130.17. .-3401.76. .139.478. .0.
Pool of Tears	.worldport .0. .-10303.5. .-3972.28. .20.2882. .0.
PoolOfTears	.worldport .0. .-10303.5. .-3972.28. .20.2882. .0.
Pools of Arilthrien	.worldport .1. .9561.33. .1743. .1291.91. .0.
PoolsOfArilthrien	.worldport .1. .9561.33. .1743. .1291.91. .0.
PoolsOfVision	.worldport .1. .-1003.42. .261.579. .112.153. .0.
PoolsOPfArlithrien	.worldport .1. .9556.24. .1654.77. .1299.49. .0.
Programmer Island	.worldport .451. .16304.2. .16318.1. .69.44. .0.
Programmer Isle	.worldport .451. .16304.2. .16318.1. .69.44. .0.
ProgrammerIsland	.worldport .451. .16304.2. .16318.1. .69.4444. .0.
PurgationIsle	.worldport .0. .-1310.1. .567.088. .106.402. .0.
Purple Night Elf Building	.worldport .0. .-5675.42. .-4244.87. .407.002. .0.
PvP Alliance Side	.worldport .17. .3049.02. .-505.125. .77.0384. .0.
PvP Alliance Start Point	.worldport .37. .-443. .-1004. .436. .0.
PvP Alliance Starting Area	.worldport .30. .-6.34645. .-411.184. .45.4318. .0.
PvP Area Horde Side	.worldport .17. .2876.37. .-762.631. .21.3474. .0.
PvP Badlands Portion	.worldport .30. .-1231.66. .453.486. .138.972. .0.
PvP Deadwind Pass	.worldport .30. .-1231.66. .453.486. .138.972. .0.
PvP Development Area	.worldport .17. .3305.46. .609.966. .39.5909. .0.
PvP Horde Start Point	.worldport .37. .-634. .-492. .385. .0.
PvP Horde Starting Area	.worldport .30. .-503.745. .-194.215. .58.5942. .0.
PvP Middle of Impact Crater	.worldport .30. .-219.279. .-283.455. .4.89101. .0.
PvP Second Badlands Portion	.worldport .30. .607.377. .-1041.68. .112.675. .0.
PvP Second Deadwind Pass	.worldport .30. .669.224. .346.28. .138.129. .0.
PvP Teldrassil Roots	.worldport .17. .3102.9. .-2319.38. .2. .0.
PvP Test VI Lettering	.worldport .17. .3707.52. .-1190.21. .0. .0.
PvP Top of Castle	.worldport .17. .1320. .260. .76. .0.
Pyrewood Village	.worldport .0. .-416.466. .1543.87. .17.5941. .0.
PyrewoodVillage	.worldport .0. .-416.466. .1543.87. .17.5941. .0.
Quel'Danil Night Elf Lodge	.worldport .0. .266.941. .-2751.41. .122.544. .0.
QuelDanilLodge	.worldport .0. .266.941. .-2751.41. .122.544. .0.
RagefireChasm	.worldport .389. .1.7849. .-14.3685. .-17.5533. .0.
Random Bay Ruins	.worldport .0. .-11712.7. .-1758.67. .22.4509. .0.
RaptorRidge	.worldport .0. .-3142.5. .-3239.81. .62.4612. .0.
Ratchet	.worldport .1. .-943.935. .-3715.49. .11.8385. .0.
Ratchet Troll Port Outpost	.worldport .1. .-943.935. .-3715.49. .11.8385. .0.
RavenHill	.worldport .0. .-10741.1. .316.202. .39.8644. .0.
RavenHillCemetery	.worldport .0. .-10316.7. .342.295. .59.6454. .0.
Raynewood Retreat	.worldport .1. .2673.51. .-1859.72. .188.112. .0.
Raynewood Retreat	.worldport .1. .2673.51. .-1859.72. .188.112. .0.
RaynewoodRetreat	.worldport .1. .2563.47. .-1698.84. .154.018. .0.
RazorfenDowns	.worldport .129. .2591.99. .1101.25. .51.8593. .0.
RazorfenKraul	.worldport .1. .-4464.92. .-1666.24. .90. .4.05498.
RazorfenKraul	.worldport .47. .1941.79. .1543.69. .81.6615. .0.
RazorHill	.worldport .1. .315.721. .-4743.4. .9.48673. .0.
Razorhill	.worldport .1. .304.762. .-4734.97. .9.30458. .0.
RazorwindCayon	.worldport .1. .900.677. .-4634.82. .17.7876. .0.
Rebel Camp	.worldport .0. .-11311.5. .-195.19. .76.3198. .0.
Red Cloud Mesa	.worldport .1. .-2928.26. .-46.1054. .188.892. .0.
Red Rocks	.worldport .1. .-1008.68. .-1115.72. .46.046. .0.
RedCloudMesa	.worldport .1. .-3157.06. .-121.667. .46.7853. .0.
RedridgeMountains	.worldport .0. .-9219.37. .-2149.94. .70.606. .0.
RedRocks	.worldport .1. .-1008.68. .-1115.72. .46.046. .0.
Refuge Pointe	.worldport .0. .-1262.79. .-2521.75. .20.8021. .0.
RefugePointe	.worldport .0. .-1262.79. .-2521.75. .20.8021. .0.
RethressSanctum	.worldport .1. .2209.15. .-6439.12. .1.82327. .0.
RockOfDurotan	.worldport .30. .-896.41. .-525.78. .54.2313. .0.
RogueQuarter	.worldport .0. .1456.44. .104.917. .-61.8538. .0.
Ruins	.worldport .0. .386.938. .212.299. .43.6994. .0.
Ruins of Alterac	.worldport .0. .522.608. .-275.392. .150.689. .0.
Ruins of Anderhol	.worldport .0. .1386.47. .-1518.8. .72.4034. .0.
Ruins of Jubuwal	.worldport .0. .-13382.6. .2.10815. .21.8683. .0.
Ruins of Lordaeron	.worldport .0. .1832.44. .236.426. .60.4171. .0.
Ruins of Mathystra	.worldport .1. .7373.38. .-938.331. .32.6196. .0.
RuinsOfAlterac	.worldport .0. .522.608. .-275.392. .150.689. .0.
RuinsOfAnderhol	.worldport .0. .1386.47. .-1518.8. .72.4034. .0.
RuinsOfElderath	.worldport .1. .3546.8. .-5287.96. .109.935. .0.
RuinsOfIsildien	.worldport .1. .-5566.04. .1449.82. .20.1135. .0.
RuinsOfKelTheril	.worldport .1. .6476.2. .-4255.87. .665.203. .0.
RuinsOfLordaeron	.worldport .0. .1801.58. .237.355. .62.7537. .0.
RuinsOfMathystra	.worldport .1. .7373.38. .-938.331. .32.6196. .0.
RuinsOfRavenwind	.worldport .1. .-2858.35. .2611.48. .58.3777. .0.
RuinsOfStardust	.worldport .1. .2178.01. .-288.45. .97.3499. .0.
RuinsOfThaurissan	.worldport .0. .-7798.32. .-2171.41. .133.01. .0.
RuinsOfZulKunda	.worldport .0. .-11693.9. .702.532. .49.9689. .0.
RuinsSolarsal	.worldport .1. .-4861.19. .3516.7. .22.8659. .0.
Rumored Entrance	.worldport .0. .-10377.2. .-421.704. .63.6252. .0.
RustmaulDigSite	.worldport .1. .-6495.56. .-3472.69. .-58.7786. .0.
RuttheranVillage	.worldport .1. .8697.15. .954.138. .12.4829. .0.
SacrificeAltar	.worldport .0. .-11685.2. .-2384.64. .-0.19184. .0.
SaldeansFarm	.worldport .0. .-10171.8. .1195.41. .36.4345. .0.
SandsorrowWatch	.worldport .1. .-7164.64. .-3142.55. .11.072. .0.
Sar'Theris Strand	.worldport .1. .-592.792. .2592.84. .15.467. .0.
Sargeron	.worldport .1. .-242.347. .764.848. .98.7113. .0.
Sargeron	.worldport .1. .-242.347. .764.848. .98.7113. .0.
SarTherisStrand	.worldport .1. .-592.792. .2592.84. .15.467. .0.
Satyrnaar	.worldport .1. .2728.9. .-2953.13. .141.112. .0.
Satyrnaar	.worldport .1. .2757.59. .-2967.58. .143.882. .0.
ScarabWall	.worldport .1. .-8108.6. .1528.42. .2.13028. .0.
Scarlet Watch Post	.worldport .0. .3040.8. .-552.374. .122.216. .0.
ScarletMonastery	.worldport .0. .2843.57. .-692.134. .139.33. .0.
ScarletMonastery	.worldport .189. .269.191. .-211.791. .19.201. .0.
ScarletWatchPost	.worldport .0. .3040.8. .-552.374. .122.216. .0.
Scholomance	.worldport .289. .199.427. .126.464. .134.912. .0.
ScreechingCanyon	.worldport .1. .-5467.33. .-1633.45. .29.4245. .0.
Scuttle Coast	.worldport .1. .242.548. .-5151.46. .1.60441. .0.
ScuttleCoast	.worldport .1. .242.548. .-5151.46. .1.60441. .0.
SearingGorge	.worldport .0. .-7176.63. .-937.667. .170.206. .0.
Sen'Jin Village	.worldport .1. .-844.586. .-4924.29. .20.8708. .0.
SenjinVillage	.worldport .1. .-827.924. .-4924.43. .19.9659. .0.
Sentinel Hill	.worldport .0. .-10510. .1046.89. .60.518. .0.
SentinelHill	.worldport .0. .-10602.9. .1073.73. .37.4834. .0.
Sentry Point	.worldport .1. .-3459.39. .-4130.3. .16.3786. .0.
SentryPoint	.worldport .1. .-3459.39. .-4130.3. .16.3786. .0.
Sepulchen	.worldport .0. .507.784. .1611.33. .124.921. .0.
Sepulcher	.worldport .0. .511.536. .1638.63. .120.417. .0.
Seradene	.worldport .0. .724.846. .-3996.11. .149.735. .0.
Seradene Night Elf Portal	.worldport .0. .724.846. .-3996.11. .149.735. .0.
Sewers	.worldport .0. .1652.9. .732.491. .80.3365. .0.
Shadowfang Keep	.worldport .0. .-202.557. .1666.88. .79.7641. .0.
ShadowfangKeep	.worldport .0. .-202.557. .1666.88. .79.7641. .0.
ShadowfangKeep	.worldport .0. .-232.796. .1568.28. .76.8909. .4.4.
Shadowglen	.worldport .1. .10696. .765.934. .1321.33. .0.
Shadowglen	.worldport .1. .10699.8. .738.73. .1325.88. .0.
ShadowpreyVillage	.worldport .1. .-1596.16. .3145.26. .67.8338. .0.
Shadra'Alor	.worldport .0. .-464.208. .-2837.23. .110.073. .0.
ShadraAlor	.worldport .0. .-464.208. .-2837.23. .110.073. .0.
Shady Rest Inn	.worldport .1. .-3719.26. .-2530.63. .69.58. .0.
ShadyRestInn	.worldport .1. .-3719.26. .-2530.63. .69.58. .0.
ShaolWatha	.worldport .0. .222.281. .-4312.26. .117.769. .0.
ShatteredStrand	.worldport .1. .4260.73. .-6273.64. .90.2289. .0.
ShatterScarVale	.worldport .1. .5483.9. .-749.881. .334.621. .0.
ShrineOfAessina	.worldport .1. .2681.05. .377.693. .67.8608. .0.
ShrineOfRemulos	.worldport .1. .7849.78. .-2196.98. .473.579. .0.
SilverpineForest	.worldport .0. .511.536. .1638.63. .120.417. .0.
SilverwindRefuge	.worldport .1. .2135.27. .-1189.9. .98.8206. .0.
SkitteringDark	.worldport .0. .1293.65. .1957.71. .19.5619. .0.
Skulk Rock	.worldport .0. .362.039. .-3796.03. .153.998. .0.
SkullRock	.worldport .1. .1452.83. .-4877.14. .11.8788. .0.
Slaughterhouse	.worldport .0. .2719.29. .-5479.3. .159.542. .0.
Slaughterhouse in Mushroom Field	.worldport .0. .3097.32. .-3562.77. .134.093. .0.
SleepingGorge	.worldport .0. .-10592.5. .-2131.21. .91.4703. .0.
SliteringScar	.worldport .1. .-7872.52. .-1344.78. .-275.459. .0.
SlitheringScar	.worldport .1. .-7849.33. .-1366.02. .-272.196. .0.
SludgeFen	.worldport .1. .1059.54. .-3003.53. .91.6441. .0.
Solliden Farmstead	.worldport .0. .2268.03. .1333.63. .34.7835. .0.
SollidenFarmstead	.worldport .0. .2268.03. .1333.63. .34.7835. .0.
Sorrow Hill	.worldport .0. .1064.09. .-1718.04. .61.1348. .0.
SorrowHill	.worldport .0. .1064.09. .-1718.04. .61.1348. .0.
South Tide's Run	.worldport .0. .-577.865. .1807.08. .8.2492. .0.
Southfury River	.worldport .1. .114.769. .-3758.95. .17.8907. .0.
SouthfuryRiver	.worldport .1. .114.769. .-3758.95. .17.8907. .0.
SouthGateOutpost	.worldport .0. .-5475.44. .-2425.32. .413.455. .0.
Southshore	.worldport .0. .-821.604. .-544.654. .15.0387. .0.
Southshore Human Harbor Town	.worldport .0. .-821.604. .-544.654. .15.0387. .0.
SouthwindVillage	.worldport .1. .-7200.2. .392.124. .24.9073. .0.
SpiritRise	.worldport .1. .-1009.29. .231.283. .134.587. .0.
SpiritRock	.worldport .1. .-861.457. .-4283.67. .77.7991. .0.
SplinterspearJunction	.worldport .0. .-10382.5. .-2605.1. .21.6849. .0.
SplintertreePost	.worldport .1. .2188.61. .-2514.28. .81.0246. .0.
Starbreeze	.worldport .1. .9881.34. .448.189. .1302.78. .0.
StarbreezeVillage	.worldport .1. .9871.55. .599.985. .1301.37. .0.
StarBreezeVillage	.worldport .1. .9859.09. .588.761. .1300.61. .0.
StarfallVillage	.worldport .1. .7166.17. .-3986.87. .742.872. .0.
SteamwidlePort	.worldport .1. .-6942.47. .-4847.1. .0.667853. .0.
Steelgrill's Depot	.worldport .0. .-5470.37. .-662.312. .392.674. .0.
Stockade	.worldport .34. .65.4011. .0.76544. .-22.5312. .0.
Stockades	.worldport .34. .49.8212. .0.870144. .-16.7136. .0.
Stonard	.worldport .0. .-10452.5. .-3263.59. .20.1782. .0.
Stonard	.worldport .0. .-10487.3. .-3256.87. .39.8964. .0.
Stone Cairn Lake	.worldport .0. .-9325.33. .-1038.92. .65.3535. .0.
StonebullLake	.worldport .1. .-2543.98. .-327.013. .-14.2089. .0.
StonehearthOutpost	.worldport .30. .23.9825. .-298.187. .14.3892. .0.
StoneheartOutpost	.worldport .30. .24.9432. .-304.787. .14.5986. .0.
Stonemaul Ruins	.worldport .1. .-4354.46. .-3275.34. .46.0475. .0.
StonemaulRuins	.worldport .1. .-4354.46. .-3275.34. .46.0475. .0.
StonesplinterValley	.worldport .0. .-5930.62. .-2939.03. .369.491. .0.
Stonetalon	.worldport .1. .898.482. .922.688. .126.788. .0.
Stonetalon Mountains	.worldport .1. .-239.089. .-809.973. .8.78944. .0.
Stonetalon Peak	.worldport .1. .2506.3. .1470.14. .262.722. .0.
StonetalonMountains	.worldport .1. .-122.391. .388.013. .94.4856. .0.
StonetalonPeak	.worldport .1. .2506.3. .1470.14. .262.722. .0.
Stonewatch	.worldport .0. .-9385.46. .-3039.27. .139.437. .0.
Stonewatch	.worldport .0. .-9385.46. .-3039.27. .139.437. .0.
StonewatchFalls	.worldport .0. .-9482.57. .-3325.85. .8.74276. .0.
Stonewrough Dam	.worldport .0. .-4771.99. .-3329.01. .345.504. .0.
StonewroughtDam	.worldport .0. .-4762.99. .-3329.01. .345.504. .0.
StonewroughtPass	.worldport .0. .-6356.7. .-2079.11. .243.571. .0.
Stormgarde Keep	.worldport .0. .-1661.42. .-1804.2. .83.0723. .0.
StormgardeKeep	.worldport .0. .-1661.42. .-1804.2. .83.0723. .0.
StormrageBarrowDens	.worldport .1. .7565.92. .-2898.29. .460.126. .0.
Stormwind	.worldport .0. .-8886.2. .574.577. .92.7699. .0.
Stormwind	.worldport .0. .-8913.23. .554.633. .93.7944. .0.
Stormwind Bank	.worldport .0. .-8937.08. .640.4. .100.645. .0.
Stormwind Canals	.worldport .0. .-8675.39. .635.774. .96.9275. .0.
Stormwind Cathedral of Light	.worldport .0. .-8513.49. .861.197. .111.039. .0.
Stormwind Cathedral Square	.worldport .0. .-8635.62. .762.727. .103.667. .0.
Stormwind City	.worldport .0. .-8913.23. .554.633. .93.7944. .0.
Stormwind Mage Quarter	.worldport .0. .-8896.36. .834.148. .99.5207. .0.
Stormwind Old Town	.worldport .0. .-8662.9. .498.212. .100.833. .0.
Stormwind Trade District	.worldport .0. .-8852.03. .652.878. .96.46. .0.
Stormwind Wizard's Sanctum	.worldport .0. .-9007.65. .870.424. .148.618. .0.
StormwindCastle	.worldport .0. .-8437.41. .349.017. .120.886. .0.
StormwindKeep	.worldport .0. .-8491.71. .397.008. .108.386. .0.
StormwindStockadesEntrance	.worldport .0. .-8764.83. .846.075. .87.4842. .0.
StormwindVaultEntrance	.worldport .0. .-8667.56. .623.563. .85.4054. .0.
StoutlagerInn	.worldport .0. .-5390.18. .-2953.93. .322.03. .0.
Strahnbrad	.worldport .0. .679.813. .-965.173. .164.598. .0.
Strahnbrad	.worldport .0. .679.813. .-965.173. .164.598. .0.
StranglethornVale	.worldport .0. .-11634.8. .-54.0697. .13.4439. .0.
Stratholme	.worldport .329. .3176.63. .-4039.28. .105.464. .0.
Sunken Temple	.worldport .0. .-10349.1. .-3849.67. .-25.6078. .0.
SunkenTemple	.worldport .109. .-314.229. .99.88. .-131.849. .0.
Sunrock Retreat	.worldport .1. .-191.661. .-301.87. .12.2698. .0.
SunRockRetreat	.worldport .1. .948.365. .955.29. .104.506. .0.
TalondeepPath	.worldport .1. .1943.14. .-741.766. .113.11. .0.
Tanaris	.worldport .1. .-7373.69. .-2950.2. .10.7598. .0.
Tanaris	.worldport .1. .-6942.47. .-4847.1. .0.667853. .0.
Tarren Mill	.worldport .0. .-28.1484. .-899.243. .56.0704. .0.
TarrenMill	.worldport .0. .-35.8153. .-925.23. .54.5009. .0.
TarrenMills	.worldport .0. .-7.3559. .-936.734. .62.3336. .0.
Tauren Camp Narache	.worldport .1. .-2905.3. .-253.768. .56.0612. .0.
Tauren Village	.worldport .1. .-4369.68. .242.294. .25.4133. .0.
TaurenCampNarache	.worldport .1. .-2905.3. .-253.768. .56.0612. .0.
Teldrassil	.worldport .1. .10708.8. .762.092. .1321.37. .0.
TempleGardens	.worldport .1. .9935.34. .2506.11. .1317.82. .0.
TempleOfArkkoran	.worldport .1. .4060.07. .-7258.75. .7.64345. .0.
TempleOfAtalHakka	.worldport .0. .-10474. .-3817.3. .28.9858. .0.
TempleofAtalHakkar	.worldport .0. .-10429.4. .-3828.84. .-31.63. .0.
TempleOfTheMoon	.worldport .1. .9674.56. .2524.82. .1333.9. .0.
Terrace of Repose	.worldport .0. .2922.59. .-740.071. .153.983. .0.
TerronRun	.worldport .1. .-7866.75. .-630.03. .-260.563. .0.
Terror Run	.worldport .1. .-7866.75. .-630.03. .-260.563. .0.
Terrordale	.worldport .0. .2963.22. .-2791.65. .110.827. .0.
TerrorRun	.worldport .1. .-7817.09. .-1036.34. .-265.721. .0.
TerrorwebTunnel	.worldport .0. .2741.58. .-2471.74. .74.78. .0.
Thalanaar	.worldport .1. .-4517.1. .-780.415. .-40.736. .0.
Thalanaar	.worldport .1. .-4517.1. .-780.415. .-40.736. .0.
Thandol Span	.worldport .0. .-2336.47. .-2509.82. .85.2212. .0.
The Altar of Zul	.worldport .0. .-295.384. .-3459.12. .194.005. .0.
The Bulwark	.worldport .0. .1716.02. .-788.217. .56.844. .0.
The Cauldron	.worldport .0. .-6892.24. .-1342.38. .239.913. .0.
The Crossroads	.worldport .1. .-456.263. .-2652.7. .95.615. .0.
